No,Tanggal Putusan,Tahun,Nama Debitur,Area,PN,Sektor,Tbk,Value,Disclosed,K Separatis,K Preferen,K Konkuren
252,09/10/2025,2025,PT Solusi Musi Persada,Jasa dan solusi industri,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,,,Rp1.805.500.000
253,03/12/2025,2025,PT Supermal Karawaci,Pengelola pusat perbelanjaan (mal),Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,,,Rp3.349.163.180.330
254,29/04/2025,2025,PT Bumi Waringin Indonesia,Perkebunan dan agribisnis,Jakarta Pusat,Bahan baku,Bukan Tbk,,Disclosed,,,Rp3.636.622.575
255,07/02/2025,2025,PT. Gotong Royong Jaya,Perdagangan umum dan jasa,Medan,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp2.801.636.950
256,17/11/2025,2025,PT. SIGMA UTAMA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
257,25/09/2025,2025,.PT RAHAYU MITRA BERSAMA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp5.420.000.000
258,24/06/2025,2025,PT Unchu Multi Indonesia,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp1.573.774.060
259,01/12/2025,2025,PT Logam Mas Indah,Manufaktur dan perdagangan produk logam,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,
260,26/05/2025,2025,PT ERA BANGUN JAYA,Konstruksi dan pembangunan,Medan,Infrastruktur,Bukan Tbk,,Undisclosed,,,
261,17/11/2025,2025,PT Berkah Aneka Laut,Perikanan dan budidaya laut,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,
262,02/10/2025,2025,PT WAHANA INFRASTRUKTUR NUSANTARA,Jasa kontraktor infrastruktur,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,,,Rp554.500.000
263,07/07/2025,2025,"PT. Eratex Djaja, Tbk",Manufaktur tekstil dan garmen,Jakarta Pusat,Perindustrian,Tbk,,Disclosed,,,Rp1.495.194.369
264,17/12/2025,2025,PT. GIRVI MAS,Perdagangan umum dan distribusi,Medan,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
265,23/06/2025,2025,PT. PERUSAHAAN PERSEROAN DAERAH PERKEBUNAN SUMATERA UTARA,"Perkebunan komoditas (kelapa sawit, karet) milik daerah",Medan,Bahan baku,Bukan Tbk,,Disclosed,,,Rp123.681.128
266,17/11/2025,2025,PT ASIANET MEDIA TEKNOLOGI,Penyedia layanan internet dan teknologi informasi,Jakarta Pusat,Teknologi,Bukan Tbk,,Disclosed,,,
267,29/10/2025,2025,PT Mitra Murni Perkasa,Kontraktor dan jasa pertambangan,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,
268,26/05/2025,2025,PT Wahana Jaya Prima,Pengembang Properti & real estate,Medan,Properti & real estate,Bukan Tbk,,Disclosed,,,
269,10/04/2025,2025,PT ONASIS INDONESIA,"Konstruksi EPCI (Engineering, Procurement, Construction & Installation)",Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,,,Rp20.188.985.020
270,17/11/2025,2025,PT.Gaharu Shipping,Jasa pelayaran dan angkutan laut,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,
271,08/09/2025,2025,PT Pusaka Bumi Transportasi,Jasa transportasi dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,
272,26/06/2025,2025,PT RAJA PRIMA SUMATERA,Jasa transportasi dan distribusi,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,
273,20/10/2025,2025,PT ASIANA SENOPATI,Hotel dan akomodasi,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,
274,29/12/2025,2025,PT Sentosa Laju Sejahtera,Jasa transportasi dan logistik,Surabaya,Transportasi,Bukan Tbk,,Undisclosed,,,
275,23/12/2025,2025,"PT Tri Banyan Tirta, Tbk",Produksi dan distribusi air minum dalam kemasan (AMDK),Jakarta Pusat,Barang konsumen primer,Tbk,,Undisclosed,,,
276,06/06/2025,2025,PT PP URBAN,Pengembangan dan konstruksi kawasan hunian perkotaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
277,25/09/2025,2025,T RAHAYU MITRA BERSAMA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp21.435.500.000
278,07/08/2025,2025,PT Aero Systems Indonesia,Jasa teknologi informasi dan sistem penerbangan,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,
279,03/02/2025,2025,PT. Nusa Bali Jaya,Pengembang Properti & real estate,Surabaya,Properti & real estate,Bukan Tbk,,Undisclosed,,,
280,15/12/2025,2025,PT. KURNIA ALAM SEJATI,Pertanian dan perkebunan,Surabaya,Bahan baku,Bukan Tbk,,Disclosed,,,Rp9.368.793.952
281,11/09/2025,2025,PT. Anugerah Tujuh Sejati,Perdagangan umum dan distribusi,Surabaya,Barang konsumen primer,Bukan Tbk,,Disclosed,Rp10.958.699.600,,Rp82.815.339.440
282,30/09/2025,2025,PT Wahana Bersama Nusantara,Jasa transportasi dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,
283,21/10/2025,2025,China Machinery Industry Construction Group Ltd.,Kontraktor konstruksi dan teknik,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
284,27/02/2025,2025,PT. SERVOTECH INDONESIA,Jasa rekayasa dan pemeliharaan industri,Medan,Perindustrian,Bukan Tbk,,Undisclosed,,,
285,06/01/2025,2025,PT WIDODO MAKMUR PERKASA Tbk.,Peternakan sapi dan pengolahan daging,Jakarta Pusat,Bahan baku,Tbk,,Disclosed,Rp162.357.177.786,,117.154.735.778
286,15/09/2025,2025,PT. Jasa Rahayu Gumpueng,Jasa pertanian dan agribisnis,Medan,Bahan baku,Bukan Tbk,,Disclosed,,,Rp7.490.000.000
287,17/12/2025,2025,PT. SENTOSA LAJU SEJAHTERA,Jasa transportasi dan logistik,Surabaya,Transportasi,Bukan Tbk,,Undisclosed,,,
288,10/02/2025,2025,PT RANTAI PASOK TEKNOLOGI,Jasa rantai pasok dan teknologi konstruksi,Jakarta Pusat,Teknologi,Bukan Tbk,,Disclosed,,,Rp15.624.000.000
289,24/03/2025,2025,PT DAYA MANUNGGAL,Manufaktur tekstil dan produk serat,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,
290,31/10/2025,2025,PT.MEWAH NIAGA JAYA,Perdagangan dan distribusi makanan/minuman,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,Rp1.012.311.799
291,01/09/2025,2025,PT Swadaya Graha,Kontraktor konstruksi (anak usaha PGN),Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,
292,14/10/2025,2025,PT Serba Dinamik Indonesia,Jasa pemeliharaan dan rekayasa industri (O&M),Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,,,Rp1.850.000.000
293,12/06/2025,2025,PT CIPTATANI KUMAI SEJAHTERA,Perkebunan dan pengolahan hasil pertanian,Jakarta Pusat,Bahan baku,Bukan Tbk,,Disclosed,,,Rp20.108.139.404
294,30/09/2025,2025,PT Tiara Global Propertindo,Pengembang Properti & real estate,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,,,Rp8.700.000.000
295,10/04/2025,2025,PT. Kasih Karunia Sejati,Perdagangan umum dan distribusi,Surabaya,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
296,22/09/2025,2025,PT. Bintang Sempati Star,Jasa transportasi dan distribusi,Medan,Transportasi,Bukan Tbk,,Undisclosed,,,
297,24/03/2025,2025,PT. Hamatek Indo,Distribusi alat berat dan mesin industri,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,
298,28/04/2025,2025,PT NUSANTARA INDAH,Perdagangan umum dan distribusi,Surabaya,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
299,03/10/2025,2025,PT Wjiaya Karya Industri & Konstruksi,Konstruksi industri dan manufaktur,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,,,
300,17/07/2025,2025,PT GLOBAL TRI TUNGGAL,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp4.003.391.954
301,08/05/2025,2025,PT. KELOLA MINALAUT,Jasa perikanan dan pengolahan hasil laut,Surabaya,Bahan baku,Bukan Tbk,,Disclosed,Rp1.198.032.320.870,Rp10.853.202.287,Rp678.305.505.677
302,05/11/2025,2025,PT MITRA USAHA SARANA,Jasa pendukung industri energi,Jakarta Pusat,Energi,Bukan Tbk,,Disclosed,,,Rp10.087.025.462
303,24/11/2025,2025,PT. Intan Nasional Iron Industri,Manufaktur produk baja dan logam (seng/besi),Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,,,Rp873.647.884
304,17/06/2025,2025,PT MGA Utama Energi,Jasa dan perdagangan sektor energi,Jakarta Pusat,Energi,Bukan Tbk,,Disclosed,,,Rp13.682.168.450
305,25/02/2025,2025,"PT BUKALAPAK.COM, TBK",Platform e-commerce dan teknologi digital,Jakarta Pusat,Teknologi,Tbk,,Undisclosed,,,
306,14/04/2025,2025,PT Digital Alpha Indonesia,Teknologi digital dan solusi bisnis,Jakarta Pusat,Teknologi,Bukan Tbk,,Disclosed,,,Rp91.465.200
307,23/06/2025,2025,PT. Pembangunan Perumahan Urban,Pengembangan dan konstruksi kawasan hunian perkotaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,,,Rp707.020.000
308,26/05/2025,2025,PT Harmas Jalesveva,Jasa pelayaran dan angkutan laut,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,
309,24/03/2025,2025,KOPERASI SIMPAN PINJAM MITRA JASA INDRAMAYU,Koperasi simpan pinjam,Jakarta Pusat,Keuangan,Bukan Tbk,,Disclosed,,,Rp859.579.094
310,10/06/2025,2025,PT PANDERMAN JAYA,Kontraktor konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
311,16/10/2025,2025,PT. SEBAUNG SAWIT PLANTATIONS,Perkebunan kelapa sawit,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
312,18/02/2025,2025,PT INDOKARYA TRI UTAMA,Jasa transportasi dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,
313,19/08/2025,2025,PT SATRIA WIJAYA KUSUMA,Perdagangan umum dan konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
314,14/04/2025,2025,JAM'AN NURCHOTIB MANSUR,Individu/profesional,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp1.083.787.600
315,17/02/2025,2025,PT. CAHAYA FROZEN RAYA,Distribusi produk makanan beku (frozen food),Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Disclosed,,,Rp2.561.062.940
316,25/02/2025,2025,PT. SAMALINDO JAYA MANDIRI,Jasa transportasi dan logistik,Surabaya,Transportasi,Bukan Tbk,,Undisclosed,,,
317,14/10/2025,2025,PT. DINAMIKA INOVASI TEKNOLOGI NASIONAL,Teknologi informasi dan inovasi digital,Surabaya,Teknologi,Bukan Tbk,,Undisclosed,,,
318,01/09/2025,2025,PT ATMA ADHI SARANA TEKNOLOGI,Jasa konstruksi dan teknologi,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,
319,24/03/2025,2025,PT. Karya Utama Persada,Jasa transportasi dan logistik,Makassar,Transportasi,Bukan Tbk,,Undisclosed,,,
320,09/01/2025,2025,PT PETRO ENERGI SOLUSI,Jasa dan solusi teknik sektor minyak & gas,Surabaya,Energi,Bukan Tbk,,Disclosed,Rp4.276.484.186,,Rp45.621.893.000
321,13/02/2025,2025,PT MIGAS MANDIRI PRATAMA HILIR KALIMANTAN TIMUR,Distribusi dan niaga hilir minyak & gas,Surabaya,Energi,Bukan Tbk,,Undisclosed,,,
322,20/06/2025,2025,Sinohydro Corporation Limited,Kontraktor konstruksi proyek hidro dan infrastruktur,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
323,02/07/2025,2025,PT SENECA INDONESIA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
324,21/04/2025,2025,PT. Xiongji International IMP & EXP Group,Perdagangan internasional (impor & ekspor),Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,Rp4.823.127,Rp12.767.679.949
325,02/10/2025,2025,PT Pelayaran Samudera Rizqi,Jasa pelayaran dan angkutan laut,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,Rp177.533.158.326,Rp202.075.000,Rp36.804.049.322
326,08/12/2025,2025,PT ENERGY UTAMA ALAM MULIA,Energi  ,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,
327,29/07/2025,2025,PT. INDUSTRI KERAMIK KEMENANGAN JAYA,Toko keramik,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,
328,07/07/2025,2025,PT. Aluvindo Extrusion,Produsen ekstrusi aluminium,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,
329,10/02/2025,2025,PT Indofarma Global Medika,Distribusi Farmasi dan Alat Kesehatan,Jakarta Pusat,Kesehatan,Bukan Tbk,,Disclosed,Rp93.528.715.454,,Rp1.467.391.192.092
330,30/06/2025,2025,PT. SRIMURNI SURABAYA,Perusahaan Kontraktor Konstruksi,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,
331,19/05/2025,2025,"PT DJASA UBERSAKTI, Tbk",Perusahaan konstruksi swasta,Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,
332,23/04/2025,2025,PT PIONEER KREASI, IT System Integrator,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,
333,28/05/2025,2025,PT MAISKA BHUMI SEMESTA,Perkebunan kelapa sawit,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
334,30/06/2025,2025,PT CAKRAWALA SINAR MULIA,"Jasa, perdagangan, atau logistik",Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,Rp410.620.512.704,,Rp18.820.000.000
335,25/06/2025,2025,PT PILAR PUTRA MAHAKAM,Jasa transportasi laut dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,Rp4.267.176.298,,Rp16.316.710.362
336,06/11/2025,2025,PT. Jandwik Nol Enam,"Asuransi umum dan asuransi jiwa, termasuk layanan berbasis syariah",Makassar,Keuangan,Bukan Tbk,,Disclosed,,,Rp433.130.000
337,18/12/2025,2025,PT LAUTAN SAKTI JAYA,Produksi dan ekspor seafood beku (frozen seafood),Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,
338,30/06/2025,2025,PT JEBUS MAJU,Pabrik serta pemasok veneer dan triplek/kayu lapis,Medan,Bahan baku,Bukan Tbk,,Disclosed,Rp19.683.855.407,,Rp2.148.620.849
339,15/07/2025,2025,PT Kurnia Parahyangan Sejahtera,"Jasa dan manajemen, dengan fokus pada komunikasi lintas digital, data kreasi, serta layanan manajemen bisnis",Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,
340,28/02/2025,2025,PT. ARGO SANJOYO ADHITAMA,Perusahaan kontraktor dan jasa teknik,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,
