No,Tanggal Putusan,Tahun,Nama Debitur,Area,PN,Sektor,Tbk,Value,Disclosed,K Separatis,K Preferen,K Konkuren
138,28/05/2025,2025,PT. BINTANG MAS PUSAKA,Perdagangan umum dan distribusi,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp42.139.609.149,,Rp5.146.757.042
139,07/01/2025,2025,PT. MULIA PERMATA,Perdagangan dan distribusi produk industri,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp20.000.000.000,,Rp69.996.819.641
140,14/01/2025,2025,PT MAJU JAYA SEJAHTERA PLYWOOD INDUSTRI,Manufaktur produk kayu dan plywood,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,
141,26/11/2025,2025,PT Logol Jakarta Mitraindo,Logistik dan distribusi,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,,,Rp9.901.879.301
142,20/10/2025,2025,CV Yodan Permata Bunga,Perdagangan & distribusi umum,Medan,Perindustrian,Bukan Tbk,,Undisclosed,,,
143,04/08/2025,2025,PT BINTANG SUKSES ENERGI,Jasa kontraktor dan perdagangan sektor energi,Jakarta Pusat,Energi,Bukan Tbk,,Disclosed,Rp70.404.186.850,,Rp198.095.312.166
144,04/08/2025,2025,PT. Totalindo Eka Persada Tbk.,Konstruksi bangunan gedung bertingkat,Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,
145,16/07/2025,2025,PT Surya Transportasi Jaya,Jasa transportasi dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,Rp9.720.323.758,,Rp9.144.166.989
146,16/04/2025,2025,CV. JAGOR JAYA,Jasa transportasi dan distribusi,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp76.263.678.231,,Rp12.087.780.649
147,24/02/2025,2025,PT Ipasa Modern Industri,Manufaktur produk industri,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp162.883.584.601,,Rp10.887.807.516
